Page,Step/Section,Button Label,data-testid,Notes
VeteransLanding,Step 10,Continue (First Name),button-submit-first-name,Submit first name
VeteransLanding,Step 11,Continue (Last Name),button-submit-last-name,Submit last name
VeteransLanding,Step 12,Continue (Email),button-submit-email,Submit email
VeteransLanding,Step 13,Continue (Phone),button-submit-phone,Submit phone number
VeteransLanding,Step 14,Continue (Street Address),button-submit-street-address,Submit street address
VeteransLanding,Step 15,Continue (County),button-submit-county,Submit county
VeteransLanding,Step 16,$50-$74/month,button-budget--50--74-month,Monthly budget option
VeteransLanding,Step 16,$75-$99/month,button-budget--75--99-month,Monthly budget option
VeteransLanding,Step 16,$100-$149/month,button-budget--100--149-month,Monthly budget option
VeteransLanding,Step 16,$150+/month,button-budget--150--month,Monthly budget option
VeteransLanding,Footer,Privacy Policy,link-privacy-policy,Opens privacy modal
VeteransLanding,Footer,Terms of Use,link-terms-of-use,Opens terms modal
VeteransLanding,Step 1 (Alt),Privacy Policy,link-privacy-policy,Opens privacy modal (on first page)
VeteransLanding,Step 1 (Alt),Terms of Use,link-terms-of-use,Opens terms modal (on first page)

FirstRespondersLanding,Step 1,law_enforcement,button-agency-law-enforcement,First responder agency
FirstRespondersLanding,Step 1,ems,button-agency-ems,First responder agency
FirstRespondersLanding,Step 1,fire_services,button-agency-fire-services,First responder agency
FirstRespondersLanding,Step 1,public_safety_communications,button-agency-public-safety-communications,First responder agency
FirstRespondersLanding,Step 1,other,button-agency-other,First responder agency
FirstRespondersLanding,Step 2,Continue (ZIP Code),button-submit-zip-code,Submit ZIP code form
FirstRespondersLanding,Step 3,Male,button-gender-male,Gender selection
FirstRespondersLanding,Step 3,Female,button-gender-female,Gender selection
FirstRespondersLanding,Step 4,Yes (Life Insurance),button-life-insurance-yes,Has life insurance
FirstRespondersLanding,Step 4,No (Life Insurance),button-life-insurance-no,Does not have life insurance
FirstRespondersLanding,Step 5,Under$10000,button-cash-under-10000,Cash amount option
FirstRespondersLanding,Step 5,$10000-$24999,button-cash--10000--24999,Cash amount option
FirstRespondersLanding,Step 5,$25000-$50000,button-cash--25000--50000,Cash amount option
FirstRespondersLanding,Step 6,Spouse,button-beneficiary-spouse,Beneficiary selection
FirstRespondersLanding,Step 6,Children,button-beneficiary-children,Beneficiary selection
FirstRespondersLanding,Step 6,Grandchildren,button-beneficiary-grandchildren,Beneficiary selection
FirstRespondersLanding,Step 6,Family Member,button-beneficiary-family-member,Beneficiary selection
FirstRespondersLanding,Step 7,Under 45,button-age-under-45,Age range selection
FirstRespondersLanding,Step 7,45-85,button-age-45-85,Age range selection
FirstRespondersLanding,Step 7,Over 85,button-age-over-85,Age range selection
FirstRespondersLanding,Step 8,Continue (Beneficiary Name),button-submit-beneficiary-name,Submit beneficiary name
FirstRespondersLanding,Step 9,Continue (Hobby),button-submit-hobby,Submit hobby
FirstRespondersLanding,Step 10,Continue (First Name),button-submit-first-name,Submit first name
FirstRespondersLanding,Step 11,Continue (Last Name),button-submit-last-name,Submit last name
FirstRespondersLanding,Step 12,Continue (Email),button-submit-email,Submit email
FirstRespondersLanding,Step 13,Continue (Phone),button-submit-phone,Submit phone number
FirstRespondersLanding,Step 14,Continue (Street Address),button-submit-street-address,Submit street address
FirstRespondersLanding,Step 15,Continue (County),button-submit-county,Submit county
FirstRespondersLanding,Step 16,$50-$74/month,button-budget--50--74-month,Monthly budget option
FirstRespondersLanding,Step 16,$75-$99/month,button-budget--75--99-month,Monthly budget option
FirstRespondersLanding,Step 16,$100-$149/month,button-budget--100--149-month,Monthly budget option
FirstRespondersLanding,Step 16,$150+/month,button-budget--150--month,Monthly budget option
FirstRespondersLanding,Footer,Privacy Policy,link-privacy-policy,Opens privacy modal
FirstRespondersLanding,Footer,Terms of Use,link-terms-of-use,Opens terms modal
FirstRespondersLanding,Step 1 (Alt),Privacy Policy,link-privacy-policy,Opens privacy modal (on first page)
FirstRespondersLanding,Step 1 (Alt),Terms of Use,link-terms-of-use,Opens terms modal (on first page)

NotFoundPage,Main,Visit Seniors Page,button-seniors,Link to /seniors
NotFoundPage,Main,Visit Veterans Page,button-veterans,Link to /veterans
